Epoch Time,Temp,Humidity,Lux Level,UV Index
1634853910.2641172,1.0,1.0,835.0,1.0
1634853910.3160372,1.0,1.0,853.0,1.0
1634853910.881397,1.0,1.0,835.0,1.0
1634853911.194968,1.0,1.0,853.0,1.0
1634853911.6834376,1.0,1.0,835.0,1.0
1634853911.7924473,1.0,1.0,853.0,1.0
1634853912.006279,1.0,1.0,835.0,1.0
1634853912.1153603,1.0,1.0,853.0,1.0
1634853912.2328238,1.0,1.0,835.0,1.0
1634853912.51472,1.0,1.0,853.0,1.0
1634853912.9122944,1.0,1.0,835.0,1.0
1634853913.2104926,1.0,1.0,853.0,1.0
1634853913.3119256,1.0,1.0,835.0,1.0
1634853913.410853,1.0,1.0,853.0,1.0
1634853913.5135906,1.0,1.0,870.0,1.0
1634853913.6179035,1.0,1.0,835.0,1.0
1634853913.718664,1.0,1.0,853.0,1.0
1634853913.8258934,1.0,1.0,835.0,1.0
1634853914.0370448,1.0,1.0,853.0,1.0
1634853914.2490394,1.0,1.0,835.0,1.0
1634853914.3639364,1.0,1.0,870.0,1.0
1634853914.5224876,1.0,1.0,853.0,1.0
1634853914.6181402,1.0,1.0,835.0,1.0
1634853914.734447,1.0,1.0,853.0,1.0
1634853914.8365357,1.0,1.0,835.0,1.0
1634853914.9417899,1.0,1.0,853.0,1.0
1634853915.037568,1.0,1.0,818.0,1.0
1634853915.139873,1.0,1.0,853.0,1.0
1634853915.2436953,1.0,1.0,835.0,1.0
1634853915.56547,1.0,1.0,818.0,1.0
1634853915.6689887,1.0,1.0,835.0,1.0
1634853915.774871,1.0,1.0,853.0,1.0
1634853915.8837934,1.0,1.0,835.0,1.0
1634853916.466902,1.0,1.0,888.0,1.0
1634853916.5765657,1.0,1.0,835.0,1.0
1634853916.6816564,1.0,1.0,853.0,1.0
1634853916.7860942,1.0,1.0,835.0,1.0
1634853916.8904707,1.0,1.0,853.0,1.0
1634853917.182234,1.0,1.0,835.0,1.0
1634853917.2873385,1.0,1.0,853.0,1.0
1634853917.8096523,1.0,1.0,888.0,1.0
1634853917.941661,1.0,1.0,835.0,1.0
1634853918.056436,1.0,1.0,853.0,1.0
1634853918.4262295,1.0,1.0,835.0,1.0
1634853918.5654857,1.0,1.0,853.0,1.0
1634853918.696858,1.0,1.0,835.0,1.0
1634853919.0163045,1.0,1.0,853.0,1.0
1634853919.4247084,1.0,1.0,835.0,1.0
1634853919.522356,1.0,1.0,853.0,1.0
1634853919.7342145,1.0,1.0,870.0,1.0
1634853919.8384044,1.0,1.0,853.0,1.0
1634853919.942679,1.0,1.0,835.0,1.0
1634853920.0446377,1.0,1.0,853.0,1.0
1634853920.2443826,1.0,1.0,835.0,1.0
1634853920.3501205,1.0,1.0,853.0,1.0
1634853920.4510841,1.0,1.0,835.0,1.0
1634853920.6558871,1.0,1.0,853.0,1.0
1634853920.7557752,1.0,1.0,835.0,1.0
1634853920.9630728,1.0,1.0,853.0,1.0
1634853921.080437,1.0,1.0,835.0,1.0
1634853921.2606995,1.0,1.0,853.0,1.0
1634853921.5725374,1.0,1.0,835.0,1.0
1634853921.9727492,1.0,1.0,853.0,1.0
1634853922.476786,1.0,1.0,835.0,1.0
1634853922.9852521,1.0,1.0,853.0,1.0
1634853923.51144,1.0,1.0,835.0,1.0
1634853923.6156492,1.0,1.0,853.0,1.0
1634853923.7191834,1.0,1.0,835.0,1.0
1634853924.0077775,1.0,1.0,853.0,1.0
1634853924.2112286,1.0,1.0,835.0,1.0
1634853924.6217315,1.0,1.0,853.0,1.0
1634853924.7347486,1.0,1.0,835.0,1.0
