Epoch Time,Temp,Humidity,Lux Level,UV Index
1635354665.6729653,1.0,1.0,580.0,311.0
1635354666.565731,1.0,1.0,585.0,311.0
1635354666.6727786,1.0,1.0,580.0,311.0
1635354666.9880555,1.0,1.0,585.0,311.0
1635354667.188535,1.0,1.0,580.0,311.0
1635354668.3004677,1.0,1.0,580.0,310.0
1635354668.4064243,1.0,1.0,580.0,311.0
1635354668.5084372,1.0,1.0,585.0,311.0
1635354668.6105547,1.0,1.0,580.0,311.0
1635354669.0143778,1.0,1.0,580.0,310.0
1635354669.1414664,1.0,1.0,580.0,311.0
1635354669.6381037,1.0,1.0,585.0,311.0
1635354669.7413776,1.0,1.0,580.0,311.0
1635354670.1451492,1.0,1.0,580.0,310.0
1635354670.3432684,1.0,1.0,580.0,311.0
1635354670.4591317,1.0,1.0,580.0,310.0
1635354670.4591317,1.0,1.0,580.0,310.0
1635354672.0836194,1.0,1.0,575.0,310.0
1635354672.401335,1.0,1.0,580.0,310.0
1635354672.6322932,1.0,1.0,580.0,311.0
1635354672.8652594,1.0,1.0,585.0,311.0
1635354672.9755397,1.0,1.0,585.0,312.0
1635354673.0898747,1.0,1.0,585.0,311.0
1635354673.2875733,1.0,1.0,580.0,311.0
1635354673.4829776,1.0,1.0,580.0,310.0
1635354673.9992836,1.0,1.0,575.0,310.0
