Epoch Time,UV Index
1635354158.40021,11
1635354158.51571,12
1635354158.63792,12
1635354158.63792,12
1635354158.87975,12
1635354159.04593,11
1635354159.1666,12
1635354159.27986,12
1635354159.3802,12
1635354159.48154,9
1635354159.58249,12
1635354159.68963,12
1635354159.7925,12
1635354159.89852,12
1635354160.00444,12
1635354160.11521,12
1635354160.24706,12
1635354160.36198,12
1635354160.46995,10
1635354160.57101,12
1635354160.68149,11
1635354160.78856,12
1635354160.89825,12
1635354161.01208,11
1635354161.13786,12
1635354161.2467,12
1635354161.34653,12
1635354161.57106,12
1635354161.68003,12
1635354161.98314,12
1635354162.09348,11
1635354162.2004,12
1635354162.3065,12
1635354162.42816,12
1635354162.54663,11
1635354162.64456,12
1635354162.7466,12
1635354162.87976,12
1635354163.42996,12
1635354163.52895,12
1635354163.64568,12
1635354163.74844,12
1635354164.13689,12
1635354164.24635,12
1635354164.34652,12
1635354165.04649,12
1635354165.14904,11
1635354166.06449,12
1635354166.06449,12
1635354167.34712,259
1635354167.66731,337
1635354167.76511,486
1635354167.86314,655
1635354167.96304,707
1635354168.06611,706
1635354168.18002,705
1635354168.27856,704
1635354168.37421,703
1635354168.37421,703
1635354168.37421,703
1635354168.37421,703
1635354172.40667,702
1635354172.53199,703
1635354172.75395,702
1635354172.86594,703
1635354173.88235,702
1635354173.98895,702
1635354174.25352,703
1635354174.36327,702
1635354174.47113,703
1635354174.57987,702
1635354174.69813,703
1635354174.82968,703
1635354175.21257,703
1635354175.33032,703
1635354176.18917,703
1635354176.29635,704
1635354177.15064,703
1635354177.66436,708
1635354177.77997,398
1635354177.8894,199
1635354178.00433,102
1635354178.12069,57
1635354178.24679,29
1635354178.36485,21
1635354178.47258,20
1635354178.58071,16
1635354178.69448,14
1635354178.80401,13
1635354178.93043,12
1635354179.10302,13
