Time,RH,Temp F
15:09:00.45,46,56
15:08:58.93,46,56
15:08:57.40,46,56
15:08:55.87,46,56
15:08:54.35,46,56
15:08:52.83,46,56
15:08:51.30,46,56
15:08:49.77,46,56
15:08:48.25,46,56
15:08:46.73,47,56
15:08:45.20,47,56
15:08:43.68,47,56
15:08:42.15,47,56
15:08:40.63,47,56
15:08:39.10,47,56
15:08:37.58,47,56
15:08:36.05,48,56
15:08:34.53,48,56
15:08:33.01,48,56
15:08:31.48,48,56
15:08:29.95,49,56
15:08:28.43,49,56
15:08:26.91,49,56
15:08:25.38,50,56
15:08:23.85,50,56
15:08:22.33,50,56
15:08:20.81,51,56
15:08:19.29,51,56
15:08:17.76,52,56
15:08:16.23,52,55
15:08:14.71,52,55
15:08:13.18,53,55
15:08:11.66,53,55
15:08:10.14,54,55
15:08:08.61,55,55
15:08:07.08,54,55
15:08:05.56,54,55
15:08:04.03,53,55
15:08:02.51,52,55
15:08:00.99,52,54
15:07:59.46,52,54
15:07:57.94,52,54
15:07:56.41,51,54
15:07:54.89,51,54
15:07:53.36,50,54
15:07:51.84,50,54
15:07:50.32,50,54
15:07:48.79,49,54
15:07:47.26,49,54
15:07:45.74,49,54
15:07:44.22,49,54
15:07:42.69,49,54
15:07:41.17,49,54
15:07:39.64,49,54
15:07:38.12,49,54
